UniProt,GeneName,Group,FullName
Q9NQA5,TRPV5,Non-kinase,Transient receptor potential cation channel subfamily v member 5
Q9H1D0,TRPV6,Non-kinase,Transient receptor potential cation channel subfamily v member 6
Q92574,TSC1,Non-kinase,Tsc complex subunit 1
P49815,TSC2,Non-kinase,Tsc complex subunit 2
Q01534,TSPY1,Non-kinase,Testis specific protein y-linked 1
Q9H2G4,TSPYL2,Non-kinase,Tspy like 2
Q86VY4,TSPYL5,Non-kinase,Tspy like 5
Q2NL82,TSR1,Non-kinase,Tsr1 ribosome maturation factor
Q6SA08,TSSK4,CAMK,Testis specific serine kinase 4
Q5TCY1,TTBK1,CK1,Tau tubulin kinase 1
Q6IQ55,TTBK2,CK1,Tau tubulin kinase 2
P53804,TTC3,Non-kinase,Tetratricopeptide repeat domain 3
O43156,TTI1,Non-kinase,Telo2 interacting protein 1
P33981,TTK,Other,Ttk protein kinase
Q14679,TTLL4,Non-kinase,Tubulin tyrosine ligase like 4
Q8WZ42,TTN,CAMK,Titin
Q71U36,TUBA1A,Non-kinase,Tubulin alpha 1a
P68363,TUBA1B,Non-kinase,Tubulin alpha 1b
Q9BQE3,TUBA1C,Non-kinase,Tubulin alpha 1c
P68366,TUBA4A,Non-kinase,Tubulin alpha 4a
P07437,TUBB,Non-kinase,Tubulin beta class i
Q13885,TUBB2A,Non-kinase,Tubulin beta 2a class iia
Q13509,TUBB3,Non-kinase,Tubulin beta 3 class iii
P23258,TUBG1,Non-kinase,Tubulin gamma 1
Q9NRH3,TUBG2,Non-kinase,Tubulin gamma 2
P49411,TUFM,Non-kinase,"Tu translation elongation factor, mitochondrial"
Q9H6E5,TUT1,Non-kinase,"Terminal uridylyl transferase 1, u6 snrna-specific"
Q15672,TWIST1,Non-kinase,Twist family bhlh transcription factor 1
P42681,TXK,TK,Txk tyrosine kinase
P10599,TXN,Non-kinase,Thioredoxin
Q9H3M7,TXNIP,Non-kinase,Thioredoxin interacting protein
P29597,TYK2,TK,Tyrosine kinase 2
P04818,TYMS,Non-kinase,Thymidylate synthetase
P14679,TYR,Non-kinase,Tyrosinase
Q06418,TYRO3,TK,Tyro3 protein tyrosine kinase
O43914,TYROBP,Non-kinase,Transmembrane immune signaling adaptor tyrobp
P26368,U2AF2,Non-kinase,U2 small nuclear rna auxiliary factor 2
P22314,UBA1,Non-kinase,Ubiquitin like modifier activating enzyme 1
P62987,UBA52,Non-kinase,Ubiquitin a-52 residue ribosomal protein fusion product 1
Q14157,UBAP2L,Non-kinase,Ubiquitin associated protein 2 like
P49459,UBE2A,Non-kinase,Ubiquitin conjugating enzyme e2 a
P63279,UBE2I,Non-kinase,Ubiquitin conjugating enzyme e2 i
Q9C0C9,UBE2O,Non-kinase,Ubiquitin conjugating enzyme e2 o
Q712K3,UBE2R2,Non-kinase,Ubiquitin conjugating enzyme e2 r2
Q16763,UBE2S,Non-kinase,Ubiquitin conjugating enzyme e2 s
Q05086,UBE3A,Non-kinase,Ubiquitin protein ligase e3a
Q9NRR5,UBQLN4,Non-kinase,Ubiquilin 4
Q5T4S7,UBR4,Non-kinase,Ubiquitin protein ligase e3 component n-recognin 4
O95071,UBR5,Non-kinase,Ubiquitin protein ligase e3 component n-recognin 5
P17480,UBTF,Non-kinase,Upstream binding transcription factor
Q04323,UBXN1,Non-kinase,Ubx domain protein 1
Q14CS0,UBXN2B,Non-kinase,Ubx domain protein 2b
P15374,UCHL3,Non-kinase,Ubiquitin c-terminal hydrolase l3
Q92890,UFD1,Non-kinase,Ubiquitin recognition factor in er associated degradation 1
O94874,UFL1,Non-kinase,Ufm1 specific ligase 1
O60701,UGDH,Non-kinase,Udp-glucose 6-dehydrogenase
P35503,UGT1A3,Non-kinase,Udp glucuronosyltransferase family 1 member a3
Q9HAW7,UGT1A7,Non-kinase,Udp glucuronosyltransferase family 1 member a7
P16662,UGT2B7,Non-kinase,Udp glucuronosyltransferase family 2 member b7
Q8TAS1,UHMK1,Other,U2af homology motif kinase 1
Q96T88,UHRF1,Non-kinase,Ubiquitin like with phd and ring finger domains 1
Q96RL1,UIMC1,Non-kinase,Ubiquitin interaction motif containing 1
O75385,ULK1,Other,Unc-51 like autophagy activating kinase 1
Q8IYT8,ULK2,Other,Unc-51 like autophagy activating kinase 2
Q6PHR2,ULK3,Other,Unc-51 like kinase 3
Q8IZJ1,UNC5B,Non-kinase,Unc-5 netrin receptor b
P13051,UNG,Non-kinase,Uracil dna glycosylase
Q92900,UPF1,Non-kinase,Upf1 rna helicase and atpase
O94763,URI1,Non-kinase,Uri1 prefoldin like chaperone
P22415,USF1,Non-kinase,Upstream transcription factor 1
Q15853,USF2,Non-kinase,"Upstream transcription factor 2, c-fos interacting"
O94782,USP1,Non-kinase,Ubiquitin specific peptidase 1
O75604,USP2,Non-kinase,Ubiquitin specific peptidase 2
Q13107,USP4,Non-kinase,Ubiquitin specific peptidase 4
Q93009,USP7,Non-kinase,Ubiquitin specific peptidase 7
P40818,USP8,Non-kinase,Ubiquitin specific peptidase 8
Q93008,USP9X,Non-kinase,Ubiquitin specific peptidase 9 x-linked
Q14694,USP10,Non-kinase,Ubiquitin specific peptidase 10
P51784,USP11,Non-kinase,Ubiquitin specific peptidase 11
Q92995,USP13,Non-kinase,Ubiquitin specific peptidase 13
P54578,USP14,Non-kinase,Ubiquitin specific peptidase 14
Q9Y4E8,USP15,Non-kinase,Ubiquitin specific peptidase 15
Q9Y5T5,USP16,Non-kinase,Ubiquitin specific peptidase 16
Q9Y2K6,USP20,Non-kinase,Ubiquitin specific peptidase 20
Q9UK80,USP21,Non-kinase,Ubiquitin specific peptidase 21
Q9UPU5,USP24,Non-kinase,Ubiquitin specific peptidase 24
Q9UHP3,USP25,Non-kinase,Ubiquitin specific peptidase 25
Q96RU2,USP28,Non-kinase,Ubiquitin specific peptidase 28
Q70CQ2,USP34,Non-kinase,Ubiquitin specific peptidase 34
Q9P2H5,USP35,Non-kinase,Ubiquitin specific peptidase 35
Q86T82,USP37,Non-kinase,Ubiquitin specific peptidase 37
Q9NQZ2,UTP3,Non-kinase,Utp3 small subunit processome component
P46939,UTRN,Non-kinase,Utrophin
Q9P2Y5,UVRAG,Non-kinase,Uv radiation resistance associated
O75379,VAMP4,Non-kinase,Vesicle associated membrane protein 4
P51809,VAMP7,Non-kinase,Vesicle associated membrane protein 7
P50552,VASP,Non-kinase,Vasodilator stimulated phosphoprotein
P15498,VAV1,Non-kinase,Vav guanine nucleotide exchange factor 1
P52735,VAV2,Non-kinase,Vav guanine nucleotide exchange factor 2
Q9UKW4,VAV3,Non-kinase,Vav guanine nucleotide exchange factor 3
P18206,VCL,Non-kinase,Vinculin
P55072,VCP,Non-kinase,Valosin containing protein
Q96JH7,VCPIP1,Non-kinase,Valosin containing protein interacting protein 1
P21796,VDAC1,Non-kinase,Voltage dependent anion channel 1
P45880,VDAC2,Non-kinase,Voltage dependent anion channel 2
P11473,VDR,Non-kinase,Vitamin d receptor
Q99990,VGLL1,Non-kinase,Vestigial like family member 1
Q14135,VGLL4,Non-kinase,Vestigial like family member 4
P40337,VHL,Non-kinase,Von hippel-lindau tumor suppressor
P09327,VIL1,Non-kinase,Villin 1
P08670,VIM,Non-kinase,Vimentin
Q9H9C1,VIPAS39,Non-kinase,"Vps33b interacting protein, apical-basolateral polarity regulator, spe-39 homolog"
Q69YN4,VIRMA,Non-kinase,Vir like m6a methyltransferase associated
Q99986,VRK1,CK1,Vrk serine/threonine kinase 1
Q86Y07,VRK2,CK1,Vrk serine/threonine kinase 2
Q8IV63,VRK3,CK1,Vrk serine/threonine kinase 3
P04004,VTN,Non-kinase,Vitronectin
Q9BTA9,WAC,Non-kinase,Ww domain containing adaptor with coiled-coil
P42768,WAS,Non-kinase,Wasp actin nucleation promoting factor
Q92558,WASF1,Non-kinase,Wasp family member 1
Q9Y6W5,WASF2,Non-kinase,Wasp family member 2
Q9UPY6,WASF3,Non-kinase,Wasp family member 3
Q641Q2,WASHC2A,Non-kinase,Wash complex subunit 2a
O00401,WASL,Non-kinase,Wasp like actin nucleation promoting factor
Q969T9,WBP2,Non-kinase,Ww domain binding protein 2
Q9H6R7,WDCP,Non-kinase,Wd repeat and coiled coil containing
O75717,WDHD1,Non-kinase,Wd repeat and hmg-box dna binding protein 1
P61964,WDR5,Non-kinase,Wd repeat domain 5
O43379,WDR62,Non-kinase,Wd repeat domain 62
Q9BQA1,WDR77,Non-kinase,Wd repeat domain 77
P30291,WEE1,Other,Wee1 g2 checkpoint kinase
P0C1S8,WEE2,Other,Wee2 oocyte meiosis inhibiting kinase
O43516,WIPF1,Non-kinase,Was/wasl interacting protein family member 1
O95785,WIZ,Non-kinase,Wiz zinc finger
Q9H4A3,WNK1,Other,Wnk lysine deficient protein kinase 1
Q9Y3S1,WNK2,Other,Wnk lysine deficient protein kinase 2
Q9BYP7,WNK3,Other,Wnk lysine deficient protein kinase 3
Q96J92,WNK4,Other,Wnk lysine deficient protein kinase 4
Q9BUR4,WRAP53,Non-kinase,Wd repeat containing antisense to tp53
Q14191,WRN,Non-kinase,Wrn recq like helicase
P19544,WT1,Non-kinase,Wt1 transcription factor
Q15007,WTAP,Non-kinase,Wt1 associated protein
Q8IX03,WWC1,Non-kinase,Ww and c2 domain containing 1
Q9NZC7,WWOX,Non-kinase,Ww domain containing oxidoreductase
Q9GZV5,WWTR1,Non-kinase,Ww domain containing transcription regulator 1
P17861,XBP1,Non-kinase,X-box binding protein 1
P47989,XDH,Non-kinase,Xanthine dehydrogenase
P98170,XIAP,Non-kinase,X-linked inhibitor of apoptosis
P23025,XPA,Non-kinase,"Xpa, dna damage recognition and repair factor"
Q01831,XPC,Non-kinase,"Xpc complex subunit, dna damage recognition and repair factor"
O14980,XPO1,Non-kinase,Exportin 1
P18887,XRCC1,Non-kinase,X-ray repair cross complementing 1
O43543,XRCC2,Non-kinase,X-ray repair cross complementing 2
O43542,XRCC3,Non-kinase,X-ray repair cross complementing 3
Q13426,XRCC4,Non-kinase,X-ray repair cross complementing 4
P13010,XRCC5,Non-kinase,X-ray repair cross complementing 5
P12956,XRCC6,Non-kinase,X-ray repair cross complementing 6
Q9H0D6,XRN2,Non-kinase,5'-3' exoribonuclease 2
P46937,YAP1,Non-kinase,Yes1 associated transcriptional regulator
P67809,YBX1,Non-kinase,Y-box binding protein 1
Q9Y2T7,YBX2,Non-kinase,Y-box binding protein 2
P16989,YBX3,Non-kinase,Y-box binding protein 3
P07947,YES1,TK,"Yes proto-oncogene 1, src family tyrosine kinase"
O15498,YKT6,Non-kinase,Ykt6 v-snare homolog
P49750,YLPM1,Non-kinase,Ylp motif containing 1
Q9Y5A9,YTHDF2,Non-kinase,Yth n6-methyladenosine rna binding protein f2
P31946,YWHAB,Non-kinase,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta
P62258,YWHAE,Non-kinase,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
P61981,YWHAG,Non-kinase,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma
P27348,YWHAQ,Non-kinase,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta
P63104,YWHAZ,Non-kinase,Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
P25490,YY1,Non-kinase,Yy1 transcription factor
P43403,ZAP70,TK,Zeta chain of t cell receptor associated protein kinase 70
Q8N680,ZBTB2,Non-kinase,Zinc finger and btb domain containing 2
Q9P1Z0,ZBTB4,Non-kinase,Zinc finger and btb domain containing 4
O95625,ZBTB11,Non-kinase,Zinc finger and btb domain containing 11
Q05516,ZBTB16,Non-kinase,Zinc finger and btb domain containing 16
Q9UPT8,ZC3H4,Non-kinase,Zinc finger ccch-type containing 4
Q8N5P1,ZC3H8,Non-kinase,Zinc finger ccch-type containing 8
O75152,ZC3H11A,Non-kinase,Zinc finger ccch-type containing 11a
Q6PJT7,ZC3H14,Non-kinase,Zinc finger ccch-type containing 14
Q86VM9,ZC3H18,Non-kinase,Zinc finger ccch-type containing 18
Q86WB0,ZC3HC1,Non-kinase,Zinc finger c3hc-type containing 1
Q8IUH4,ZDHHC13,Non-kinase,Zinc finger dhhc-type palmitoyltransferase 13
P37275,ZEB1,Non-kinase,Zinc finger e-box binding homeobox 1
P26651,ZFP36,Non-kinase,Zfp36 ring finger protein
Q07352,ZFP36L1,Non-kinase,Zfp36 ring finger protein like 1
Q9NTW7,ZFP64,Non-kinase,Zfp64 zinc finger protein
Q96K21,ZFYVE19,Non-kinase,Zinc finger fyve-type containing 19
Q9UKY1,ZHX1,Non-kinase,Zinc fingers and homeoboxes 1
Q15776,ZKSCAN8,Non-kinase,Zinc finger with krab and scan domains 8
Q9UBW7,ZMYM2,Non-kinase,Zinc finger mym-type containing 2
Q14202,ZMYM3,Non-kinase,Zinc finger mym-type containing 3
Q9UQR1,ZNF148,Non-kinase,Zinc finger protein 148
O43670,ZNF207,Non-kinase,Zinc finger protein 207
Q9Y2X9,ZNF281,Non-kinase,Zinc finger protein 281
Q6U7Q0,ZNF322,Non-kinase,Zinc finger protein 322
Q9H8N7,ZNF395,Non-kinase,Zinc finger protein 395
Q8TAQ5,ZNF420,Non-kinase,Zinc finger protein 420
Q92610,ZNF592,Non-kinase,Zinc finger protein 592
O15014,ZNF609,Non-kinase,Zinc finger protein 609
Q969S3,ZNF622,Non-kinase,Zinc finger protein 622
Q14966,ZNF638,Non-kinase,Zinc finger protein 638
Q9BU19,ZNF692,Non-kinase,Zinc finger protein 692
Q6NUN9,ZNF746,Non-kinase,Zinc finger protein 746
Q9H5H4,ZNF768,Non-kinase,Zinc finger protein 768
O43257,ZNHIT1,Non-kinase,Zinc finger hit-type containing 1
Q8NHG8,ZNRF2,Non-kinase,Zinc and ring finger 2
Q9UGI0,ZRANB1,Non-kinase,Zinc finger ranbp2-type containing 1
Q9BUG6,ZSCAN5A,Non-kinase,Zinc finger and scan domain containing 5a
O95229,ZWINT,Non-kinase,Zw10 interacting kinetochore protein
Q15942,ZYX,Non-kinase,Zyxin
